"plid","nadults","stablelink","datetime","moon","tempf"
"LOCKb2013a_000099",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4e7.JPG",2012-12-20 11:00:00,"firstq",49
"LOCKb2013a_000100",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4e9.JPG",2012-12-20 12:00:00,"firstq",44
"LOCKb2013a_000101",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4eb.JPG",2012-12-20 13:00:00,"firstq",45
"LOCKb2013a_000102",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4ed.JPG",2012-12-20 14:00:00,"firstq",51
"LOCKb2013a_000103",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4ef.JPG",2012-12-20 15:00:00,"firstq",48
"LOCKb2013a_000104",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4f1.JPG",2012-12-20 16:00:00,"firstq",50
"LOCKb2013a_000105",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4f3.JPG",2012-12-20 17:00:00,"firstq",45
"LOCKb2013a_000106",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4f5.JPG",2012-12-20 18:00:00,"firstq",42
"LOCKb2013a_000107",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4f7.JPG",2012-12-20 19:00:00,"firstq",42
"LOCKb2013a_000108",24,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4f9.JPG",2012-12-20 20:00:00,"firstq",43
"LOCKb2013a_000110",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4fd.JPG",2012-12-21 08:00:00,"firstq",52
"LOCKb2013a_000111",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4ff.JPG",2012-12-21 09:00:00,"firstq",49
"LOCKb2013a_000113",24,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f503.JPG",2012-12-21 11:00:00,"firstq",46
"LOCKb2013a_000114",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f505.JPG",2012-12-21 12:00:00,"firstq",44
"LOCKb2013a_000115",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f507.JPG",2012-12-21 13:00:00,"firstq",45
"LOCKb2013a_000116",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f509.JPG",2012-12-21 14:00:00,"firstq",49
"LOCKb2013a_000118",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f50d.JPG",2012-12-21 16:00:00,"firstq",51
"LOCKb2013a_000119",23,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f50f.JPG",2012-12-21 17:00:00,"firstq",49
"LOCKb2013a_000120",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f511.JPG",2012-12-21 18:00:00,"firstq",47
"LOCKb2013a_000121",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f513.JPG",2012-12-21 19:00:00,"firstq",39
"LOCKb2013a_000122",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f515.JPG",2012-12-21 20:00:00,"firstq",36
"LOCKb2013a_000123",23,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f517.JPG",2012-12-22 07:00:00,"firstq",48
"LOCKb2013a_000124",25,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f519.JPG",2012-12-22 08:00:00,"firstq",57
"LOCKb2013a_000125",27,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f51b.JPG",2012-12-22 09:00:00,"firstq",49
"LOCKb2013a_000126",23,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f51d.JPG",2012-12-22 10:00:00,"firstq",55
"LOCKb2013a_000127",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f51f.JPG",2012-12-22 11:00:00,"firstq",60
"LOCKb2013a_000128",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f521.JPG",2012-12-22 12:00:00,"firstq",59
