imageid,datetime,nadults,nchicks,neggs,tempc,lunar_phase,URL
SPIGa2012a_000175,2012:12:07 11:00:00,15,0,0,13.89,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e901.JPG
SPIGa2012a_000190,2012:12:08 11:00:00,14,0,0,13.89,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e91f.JPG
SPIGa2012a_000197,2012:12:08 18:00:00,15,0,0,13.89,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e92d.JPG
SPIGa2012a_000199,2012:12:08 20:00:00,15,0,0,13.89,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e931.JPG
SPIGa2012a_000385,2012:12:21 11:00:00,15,0,0,13.89,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304eaa5.JPG
SPIGa2013b_000091,2013:01:15 15:00:00,14,10,0,13.89,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb112fc4d79f304eb65.JPG
SPIGa2013b_000343,2013:02:01 12:00:00,14,15,0,13.89,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb312fc4d79f304ed5d.JPG
SPIGa2013b_000348,2013:02:01 17:00:00,12,15,0,13.89,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb312fc4d79f304ed67.JPG
SPIGa2013b_004712,2013:11:19 16:00:00,23,0,0,13.89,full,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed612fc4d79f3050f7f.JPG
SPIGa2013b_004816,2013:11:26 15:00:00,24,0,0,13.89,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed712fc4d79f305104f.JPG
SPIGa2014a_000027,2013:12:25 14:00:00,33,0,0,13.89,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513af.JPG
SPIGa2012a_000137,2012:12:04 18:00:00,17,0,0,13.33,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eae12fc4d79f304e8b5.JPG
SPIGa2012a_000174,2012:12:07 10:00:00,12,0,0,13.33,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e8ff.JPG
SPIGa2012a_000193,2012:12:08 14:00:00,13,0,0,13.33,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e925.JPG
SPIGa2012a_000372,2012:12:20 13:00:00,11,0,0,13.33,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304ea8b.JPG
SPIGa2012a_000375,2012:12:20 16:00:00,14,0,0,13.33,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304ea91.JPG
SPIGa2012a_000380,2012:12:20 21:00:00,19,0,0,13.33,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304ea9b.JPG
SPIGa2012a_000388,2012:12:21 14:00:00,9,0,0,13.33,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304eaab.JPG
SPIGa2013b_000105,2013:01:16 14:00:00,14,6,0,13.33,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb112fc4d79f304eb81.JPG
SPIGa2013b_000115,2013:01:17 09:00:00,15,11,0,13.33,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb112fc4d79f304eb95.JPG
SPIGa2013b_000635,2013:02:20 19:00:00,15,0,0,13.33,waxinggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb512fc4d79f304efa5.JPG
